email,time_homework,time_lectures,module,time_homework_homework-01b,time_lectures_homework-01b,module_homework-01b,time_homework_homework-02,time_lectures_homework-02,module_homework-02,time_homework_homework-03,time_lectures_homework-03,module_homework-03,time_homework_homework-04,time_lectures_homework-04,module_homework-04,time_homework_homework-05,time_lectures_homework-05,module_homework-05,time_homework_homework-06,time_lectures_homework-06,module_homework-06,time_homework_homework-piperider,module_homework-piperider,time_evaluate,module_project-01-eval,time_project,module_project-01-submissions,time_evaluate_project-02-eval,module_project-02-eval,time_project_project-02-submissions,module_project-02-submissions,user_id
06d8c8f50a023b98e4aa0d73a5b09b880021c839,2.0,6.0,homework-01a,1.0,3.0,homework-01b,4.0,3.0,homework-02,1.0,2.0,homework-03,2.0,10.0,homework-04,,,,,,,,,2.0,project-01-eval,24.0,project-01-submissions,,,,,30
0753d46d91310bc5cb6617bf3a8232e123511af7,3.0,20.0,homework-01a,0.0,0.0,homework-01b,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,0.0,0.0,homework-06,,,,project-01-eval,,project-01-submissions,,,,,31
078c072b7fc72f7f625ae7d0622ede52e8ab9c67,3.0,72.0,homework-01a,3.0,72.0,homework-01b,72.0,48.0,homework-02,48.0,2.0,homework-03,,,,,,,,,,,,2.0,project-01-eval,96.0,project-01-submissions,,,,,32
07bb86087cc1de24236c8c68a3d9a5701e57b3ee,1.0,5.0,homework-01a,1.0,5.0,homework-01b,1.0,5.0,homework-02,1.0,3.0,homework-03,1.0,5.0,homework-04,1.0,2.0,homework-05,,,,,,1.0,project-01-eval,25.0,project-01-submissions,,,,,33
07e8dee7053a25c48893cc29e438a1ac494aed47,1.0,4.0,homework-01a,1.0,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,34
07ec45e800d093a0b418b495dbc38b06c4b3236d,4.0,4.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
080e434785b3514dfd8af2e718536a7ef6deccb7,1.0,4.0,homework-01a,0.5,1.0,homework-01b,1.0,5.0,homework-02,2.0,2.0,homework-03,3.0,3.0,homework-04,2.0,2.0,homework-05,6.0,5.0,homework-06,,,,,,,0.8333333333333334,project-02-eval,50.0,project-02-submissions,36
08241862e7e1d4d88d3339a3719458a62c26ccd6,2.0,3.0,homework-01a,1.0,2.0,homework-01b,5.0,3.0,homework-02,6.0,5.0,homework-03,,,,,,,,,,,,,,,,,,,,37
085110f2505eebb4ee1163ec6bf1ebd2161a6b9e,0.0,0.0,homework-01a,0.0,0.0,homework-01b,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,0.0,0.0,homework-06,,,,,,,,,,,38
0860e829ea353aed51dde9ede44e1d0abeb7d2c2,0.75,7.0,homework-01a,0.5,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,39
092de8e7440811b1b5c50e70e84e5cc901d02acf,1.0,1.0,homework-01a,0.5,1.0,homework-01b,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,0.0,0.0,homework-06,,,,,,,,,,,40
097fab34f3b1c044d53fa5dbb2d18ac9762c7928,2.0,4.0,homework-01a,0.5,2.0,homework-01b,4.0,8.0,homework-02,2.0,3.0,homework-03,,,,,,,,,,,,,,,,,,,,41
09b6ac2d0221e9fafd963236f25ee50197742a77,3.0,6.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
0a3aa06d4db2f63da211423f736eedfc836400a4,1.0,5.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
0a68f7566766bdcd05d80cd186a11fa6f6bd2e7c,12.0,42.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
0a7870a19937af442fe546e031992a3f9f235d4e,4.0,8.0,homework-01a,3.0,5.0,homework-01b,10.0,15.0,homework-02,3.0,3.0,homework-03,10.0,15.0,homework-04,5.0,20.0,homework-05,2.0,10.0,homework-06,,,,,,,,,,,45
0ac7f1f37514c3a46af3fa2cb037e86f4859ca18,0.0,0.0,homework-01a,0.0,0.0,homework-01b,,,,0.0,0.0,homework-03,,,,,,,,,,,,,,,,,,,,46
0ad067e727ce725f31a10d79d2dfff94a252bb43,2.0,2.0,homework-01a,2.0,1.0,homework-01b,3.0,2.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,47
0ae6355f8fa01aee6ae113fb851931fae3196b76,4.0,10.0,homework-01a,4.0,10.0,homework-01b,6.0,6.0,homework-02,3.0,5.0,homework-03,3.0,7.0,homework-04,3.0,7.0,homework-05,,,,,,,,,,,,,,48
0b1e769e8241e8c9e28ccbec5dae5ded2cf924e5,6.0,4.0,homework-01a,1.0,2.0,homework-01b,3.0,3.0,homework-02,1.0,2.0,homework-03,4.0,4.0,homework-04,3.0,3.0,homework-05,2.0,2.0,homework-06,,,,,,,,,,,49
0b1f13df144a6defb4838a852fe235475376a664,3.0,10.0,homework-01a,3.0,3.0,homework-01b,2.0,4.0,homework-02,,,,8.0,4.0,homework-04,1.0,1.0,homework-05,,,,,,,,,,,,,,50
0b22dbe1bf6077303a55d04e2e6761c93034daa3,0.0,0.0,homework-01a,,,,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,,,,,,,,,,,,,,51
0b3c9bf4bc62067191764c22448520276e5cf866,5.0,12.0,homework-01a,1.0,3.0,homework-01b,3.0,10.0,homework-02,1.3,3.0,homework-03,,,,,,,,,,,,,,,,,,,,52
0bcefe594b588514d5babffa76c5340ea7840d76,2.0,2.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
0c5b7c4319fdbe8d000bd06317a105f0e72bfde5,2.0,6.0,homework-01a,2.0,6.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,54
0c6d80356c59c994598d0878f5f68f63828b8c4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3666666666666667,project-02-eval,35.0,project-02-submissions,55
0c96f7b469ea3c0e7e38a1a48c0865f71d1f1e8e,3.0,1.0,homework-01a,,,,0.0,0.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,56
0cd5afcbd7766d476b725aefb71982327e206b38,2.0,10.0,homework-01a,1.0,4.0,homework-01b,15.0,2.0,homework-02,2.0,2.0,homework-03,,,,,,,,,,,,,,,,,,,,57
0d343826157ddaa0d531050d5e86eb8dbb8b8201,3.0,8.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
0d43b117efbf7cd1d5a29dcbd149df90fa96f62f,5.0,15.0,homework-01a,5.0,15.0,homework-01b,5.0,10.0,homework-02,5.0,10.0,homework-03,,,,,,,,,,,,,,,,,,,,59
0d715ac1b14da1276322ec37a66ad41e70256617,3.0,5.0,homework-01a,5.0,5.0,homework-01b,5.0,5.0,homework-02,4.0,4.0,homework-03,4.0,4.0,homework-04,4.0,4.0,homework-05,5.0,0.0,homework-06,5.0,homework-piperider,,,,,,,,,60
0e185ca538d0a1a21a992859a749cdd9f5f7dfcb,4.0,0.0,homework-01a,1.0,3.0,homework-01b,,,,3.0,6.0,homework-03,3.0,6.0,homework-04,3.0,6.0,homework-05,12.0,6.0,homework-06,,,,,,,,,,,61
0e194a18c2983607b4fc2c03ff6b6b23f4b56538,,,,,,,3.0,8.0,homework-02,2.0,3.0,homework-03,,,,,,,,,,,,,,,,,,,,62
0e5d3aa88e7eaf8f2ecdf3e0ffdbaa320747faa1,3.0,2.5,homework-01a,1.0,1.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,63
0e6fee08c94176d25fed0f4435315ea0dde0de4a,10.0,10.0,homework-01a,2.0,1.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,64
0e8ccafd03b60497ba7d56b6b7a66b886cfb0b50,5.0,5.0,homework-01a,3.0,3.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,65
0ebb9cedef8ae8ab47e5c7dfdd0c34739ee88bc6,1.5,10.0,homework-01a,0.5,3.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,66
0f0efa59a41a4d0f1f40aba12d21a9d4fd1f7a60,2.0,2.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
0f2383ba7332d14adf86b7a4bf5fca583b4d022d,5.0,10.0,homework-01a,1.0,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,68
0f74646668ccbbbc13d9b6d8e2703f1ca8653519,1.0,6.0,homework-01a,1.0,2.0,homework-01b,6.0,8.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,,,,,,2.0,project-01-eval,24.0,project-01-submissions,,,,,69
0f83436a7f83cd437e853139bff3cc372e80fad9,2.0,6.0,homework-01a,1.0,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,70
0f9eed1f6cef69e1bef50af4230ca0aa88ba2847,0.0,0.0,homework-01a,1.0,1.0,homework-01b,2.0,1.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,71
0fe8381f614a64f24fd2c0514a8718e6fc301eb6,0.0,0.0,homework-01a,,,,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,,,,,,,,,,,project-02-eval,,project-02-submissions,72
10576c658a4296b827e7ea08e5b6d990f6f142f6,0.0,0.0,homework-01a,0.0,0.0,homework-01b,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,0.0,0.0,homework-06,,homework-piperider,,project-01-eval,,project-01-submissions,,,,,73
11392ece56c3488108e2fd974e8b05bd9abc9790,1.0,5.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
119fb8e9287884898d25b1237308ce5b5c537a28,2.0,4.0,homework-01a,0.0,0.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,75
13698c1b25a2cd4e263b3d42b339888c6ff4c3b1,10.0,7.0,homework-01a,5.0,5.0,homework-01b,4.0,10.0,homework-02,2.0,3.0,homework-03,4.0,8.0,homework-04,4.0,8.0,homework-05,,,,,,,,,,,,,,76
136c60fc8f68ba09453d6535a2bccce5f272ec41,5.0,5.0,homework-01a,2.0,3.0,homework-01b,4.0,5.0,homework-02,7.0,5.0,homework-03,,,,4.0,7.0,homework-05,,,,,,,,,,,,,,77
13cacfc47057d120870349399fd66f02bdb16b66,,,,,,,0.0,6.0,homework-02,0.0,0.0,homework-03,10.0,6.0,homework-04,2.0,5.0,homework-05,4.0,7.0,homework-06,3.0,homework-piperider,,,,,4.066666666666666,project-02-eval,31.0,project-02-submissions,78
13e674805a3c414f3070c3830b07d6dc0461bc79,3.0,8.0,homework-01a,3.0,8.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,79
13e9376ce462a9506128c953a8d240963f8e9ea1,3.0,10.0,homework-01a,1.0,5.0,homework-01b,15.0,6.0,homework-02,8.0,4.0,homework-03,7.0,40.0,homework-04,5.0,10.0,homework-05,2.0,10.0,homework-06,,,1.0,project-01-eval,300.0,project-01-submissions,,,,,80
1404e75b1cefbcab4c5ce82d565ff8b11590dabd,1.0,5.0,homework-01a,1.0,2.0,homework-01b,5.0,6.0,homework-02,3.0,5.0,homework-03,5.0,7.0,homework-04,3.0,7.0,homework-05,9.0,7.0,homework-06,,,,project-01-eval,,project-01-submissions,,,,,81
147c4b708ff8b7c8d6745bf663d013aef69abf1c,3.0,25.0,homework-01a,0.0,0.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,82
1487e3227d68822f08b598e4d5a87bbf1f5e250e,3.0,3.0,homework-01a,1.0,1.0,homework-01b,5.0,3.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,83
1492bc88634dcfcb56221d0f83c2cacaec223958,0.0,0.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
14e27a0b309b1216717fa56a973024bcd2c7ae73,,,,2.0,2.0,homework-01b,3.0,3.0,homework-02,3.0,3.0,homework-03,3.0,3.0,homework-04,2.0,2.0,homework-05,3.0,3.0,homework-06,,,,,,,,,,,85
14ec439fa72f8c680f79373f725f8da5d078a8fa,2.0,8.0,homework-01a,1.0,4.0,homework-01b,3.0,16.0,homework-02,2.0,2.0,homework-03,3.0,5.0,homework-04,1.0,6.0,homework-05,2.0,14.0,homework-06,,,,,,,,,,,86
153b4664a0329f3b76a2bed135b222ca792464eb,1.0,10.0,homework-01a,0.0,0.0,homework-01b,2.0,5.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,87
